user_id,business_id,review_id,review_stars,review_useful,review_funny,review_cool,review_text,review_date,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_stars,business_review_count,business_is_open,business_categories,user_name,user_review_count,user_yelping_since,user_useful,user_funny,user_cool,user_fans,user_average_stars,user_compliment_hot,user_compliment_more,user_compliment_profile,user_compliment_cute,user_compliment_list,user_compliment_note,user_compliment_plain,user_compliment_cool,user_compliment_funny,user_compliment_writer,user_compliment_photos
--7gjElmOrthETJ8XqzMBw,UxWH8zRYIBgs6Q2oykvRdw,DsTc9jnwWcuI774ZieKgOQ,4,0,1,0,"Cluny delivered an excellent brunch. Family & I enjoyed the atmosphere, service & food. 

My husband is ""gluten feee"", while they will accommodate, the GF bread was dry and without flavour. 

We arrived at 10:30 and the Bistro was quite quiet. By 11am, the place was humming and impossible to sit without a reservation. 

They serve alcohol  (mimosas etc.) from 11am onwards. 

Even though the waiter wasn't well informed about the menu (had to check on details), the service was excellent. 

We will return & highly recommend!",2018-05-24 21:19:54,Cluny Bistro & Boulangerie,35 Tank House Lane,Toronto,ON,M5A 3C4,43.6505879,-79.3578962,3.5,459,t,"Nightlife, Restaurants, Bars, Wine Bars, Cocktail Bars, French",Elizabeth,23,2014-11-16 01:52:52,12,5,2,0,3.61,0,0,0,0,0,0,0,0,0,0,0
--7gjElmOrthETJ8XqzMBw,9HAfloFDDOH0f8fmA5nkaw,WLH1wZgQVzr5HmsS4LnHQQ,3,0,0,0,Good experience with Paintball ... sons (age 12 & age 14) + friends had a blast. Service for pizza delivery was a disaster. Waited 1 1/2 hours for delivery as kids became very hungry. Pizza was tasty but very poor delivery took away from experience. Spoke with Management & hope they find another pizza provider,2016-10-31 20:17:49,Sgt. Splatter's Project Paintball,54 Wingold Avenue,Toronto,ON,M6B 1P5,43.7036939,-79.4558854,2.5,17,t,"Local Flavor, Recreation Centers, Active Life, Paintball, Gun/Rifle Ranges, Sports Clubs",Elizabeth,23,2014-11-16 01:52:52,12,5,2,0,3.61,0,0,0,0,0,0,0,0,0,0,0
--7gjElmOrthETJ8XqzMBw,brNYDrnZhjZjbef9iXQVQw,rrHZU0e9az68tREdYGN55g,2,5,0,0,Overpriced and poorly cut bacon ... lots of fat & very little meat. Good burgers. Average chicken & beef. Heading back to Sanagan's for the best bacon & chicken & meat in T.O.,2016-08-07 16:29:32,The Healthy Butcher,298 Eglinton Avenue W,Toronto,ON,M4R 1B2,43.7049299,-79.4080723,3.5,17,t,"Specialty Food, Shopping, Food, Grocery, Meat Shops",Elizabeth,23,2014-11-16 01:52:52,12,5,2,0,3.61,0,0,0,0,0,0,0,0,0,0,0
--7gjElmOrthETJ8XqzMBw,GTNhbajbPNao5ITndlYy6Q,6naKZarNC31f2Wa6fuG7Mw,5,0,0,0,"Best bacon in T.O. Excellent chicken, steak & burgers. Love the chicken sausage however pass on the pork sausages. Very helpful staff.",2016-08-07 16:24:46,Sanagan's Meat Locker,176 Baldwin Street,Toronto,ON,M5T 1L8,43.654938,-79.4008335,4,111,t,"Specialty Food, Meat Shops, Food",Elizabeth,23,2014-11-16 01:52:52,12,5,2,0,3.61,0,0,0,0,0,0,0,0,0,0,0
--7gjElmOrthETJ8XqzMBw,byN9qRmL5YhKzYQtAFDulw,fP_E3ZNGXK_xIDTdfwdPAg,5,0,0,0,"For the more serious junior squash player, look no further then Shahier Razik & Squash Revolution. My son Patrick is just back from a Squash Revolution Camp at Wesleyan University - loved it! Shahier teams up with Amr Shabana, Greg Gaultier, Shona Kerr (Wesleyan) & the rest of the team. Unbelievable experience to move from a good to great player. My son also takes lesson from Shahier at Squash Revolution, Ryerson. Great advice on drills, mental prep, physical training & match play. Shahier has a positive energy & outlook to improve weaknesses & continue to build strengths. Incredibly motivating, smart, kind & funny. A superb mentor & coach for our son!",2016-07-12 00:20:17,Squash Revolution,50 Gould Street,Toronto,ON,M5B 1X8,43.6581579,-79.3787966,5,3,t,"Squash, Active Life",Elizabeth,23,2014-11-16 01:52:52,12,5,2,0,3.61,0,0,0,0,0,0,0,0,0,0,0
--7gjElmOrthETJ8XqzMBw,IiG1_hV_TyQgLzh2j8Zncg,y6cYYo9ZywHcMbNl8vUWQA,2,0,0,0,Pretentious host who ushered my husband & I to a table beside the kitchen and hesitated when we requested a better table. Mackerel salad drowned in a heavy dressing. Eggplant was tasty. Sable fish was good. Finished with excellent coffee. Overall expensive & pretentious.,2014-11-16 15:50:32,Cava,1560 Yonge Street,Toronto,ON,M4T 2S9,43.6894573,-79.3950643,4,141,t,"Restaurants, Spanish, Tapas Bars, Tapas/Small Plates",Elizabeth,23,2014-11-16 01:52:52,12,5,2,0,3.61,0,0,0,0,0,0,0,0,0,0,0
--Br-QsbO9ad5GbZxVGxaw,x6PA-2j7LpZAYFo2VojmQQ,jRrkhyuwqU8IlnyYzz7LaA,2,0,0,0,"I didn't know that making a smoked salmon bagel ($6.78) takes more than 10 minutes, but apparently at Little Fin, it does! I went in to the restaurant before 10:30 (that was the time that my order was entered) and left well after 10:40. 
I'd also like to mention that although it is not mandatory to make food with gloves, I think it looks better to customers. The gentleman making my sandwich was running all around the kitchen, getting supplies (bagel, smoked salmon, cream cheese, lettuce) for my sandwich. He touched utensils, the fridge door, and god knows what else WITHOUT washing his hands before touching my food. 
Needless to say I'm beyond grossed out and will not be returning to this restaurant.",2016-08-24 14:55:34,Little Fin,4 Temperance Street,Toronto,ON,M5H 1Y4,43.6510992,-79.3791616,3.5,151,f,"Seafood, Fish & Chips, Restaurants, Sandwiches, Italian",Melanie,12,2015-06-10 00:58:00,21,5,2,0,3.25,0,0,0,0,0,0,0,0,0,0,0
--Br-QsbO9ad5GbZxVGxaw,6HjDDG6sVISBMX_SFksPmQ,lhYM34fUKt4Q0JHdymP6WQ,5,0,0,0,"I had done months worth of research for a brow technician that would be a good fit for me. I work a lot, so I had a hard time finding the time to book an appointment as most salons are closed on Sundays (the ONE DAY I end work early or don't work at all). As if God himself was sending me a message, I ran into a co-worker of mine who had her brows done by Anna Victoria. They looked VERY natural and I was excited to know that someone I knew was also into microbladed eyebrow tattoos. I went through Anna Victoria's Instagram account (@annavictoriachow) and decided that I was ready to book my appointment. I booked it a month in advance (I know my schedule months in advance) for Easter Sunday (I know, I'm horrible), the ONLY Sunday I was available.

Anna called me the morning of, letting me know she was running 15mins behind. Totally fine, not a problem, especially because she called me 30mins prior to my appointment time (I hadn't left home yet). When I got to the salon, Anna was SUPER friendly and welcoming, offering me coffee and timbits. We chatted for a while, just getting to know each other better. 

Soon after we headed into a room for the consultation and procedure. I didn't have anything specific in mind for my brows. My only request was that they be natural (especially because I don't wear make up all the time). She knew exactly what I wanted and understood my concerns. She then measured and outlined the desired shape, always asking if I was happy with what she was suggesting. This process took about an hour to an hour and a half. I appreciated that she was very patient. 

Next step was to pick colours and start the microblading. I brought her my Anastasia Dip Brow in Medium Brown as a reference, as that is the colour I use to fill in my brows on a daily basis. 

HERE WE GO WITH THE ACTUAL MICROBLADING! Anna was great with the anesthetic, making sure my brows were completely numb before the process. The procedure was painless, except for some areas the numbing cream did not affect (high points in the brow, ends of the brow) (due to no fault of Anna's). It was a little uncomfortable lying down on the table for so long, but of course that can't be helped. I was super happy when the procedure was 90% over - I was able to get up and stretch a bit. SHE WAS EXTREMELY THOROUGH DURING THE PROCEDURE!

THIS REVIEW IS LONG. But overall I am EXTREMELY happy with the results. I didn't know what to expect going in, but I am happy with the results that I got. I would HIGHLY RECOMMEND seeing Anna Victoria if you're looking into microblading, ESPECIALLY if you live in the Markham/Richmond Hill/Vaughan area - it's great that there is a talented technician close to home!",2016-03-28 17:18:07,The Good Geisha,576 Dundas Street W,Toronto,ON,M5T 1H5,43.6526154,-79.4005169,4.5,6,t,"Cosmetics & Beauty Supply, Shopping, Eyelash Service, Tattoo, Permanent Makeup, Beauty & Spas, Skin Care",Melanie,12,2015-06-10 00:58:00,21,5,2,0,3.25,0,0,0,0,0,0,0,0,0,0,0
--BumyUHiO_7YsHurb9Hkw,iPuY6dR5w5X_gOM_2mx-hA,phbc0vPH7odz66TyX59TIQ,4,1,0,0,"Service was great and attentive, food & cocktails were delicious and flavourful. 

We had the baba ghanoush which came with these mini pitas with herbs on top - the pitas were delightfully warm & fresh. Also had the watermelon and haloumi salad which was good but a bit pricey for what it was. The roasted cauliflower and potatoes which were also great. 

Both the mayrik and hayrik cocktails were phenomenal - I loved the added touch of the grilled pineapple served on the moscow mule glass as it made for a yummy dessert :)",2018-08-27 01:23:41,Mayrik,1580 Bayview Avenue,Toronto,ON,M4G 3B7,43.7056762,-79.375444,4.5,31,t,"Lebanese, Canadian (New), Greek, Mediterranean, Restaurants, Middle Eastern",Sapna,76,2017-01-13 13:32:40,43,8,13,1,3.94,3,1,0,0,0,0,2,0,0,1,0
--BumyUHiO_7YsHurb9Hkw,1W_gZM_uuEvJqapbIl6z9Q,H9tNLu0P9aztcp8HYELSgg,5,1,0,0,Pleasant and unexpected find right outside Broadview subway station. I had the vegetarian mushroom & cactus huarache and the flavours were definitely on point. They also have 5 different salsa/sauces you can add if you want some extra heat. I'll definitely be back!,2018-08-27 01:20:25,El Charro,788 Broadview ave,Toronto,ON,M4K 2P7,43.6771428,-79.3590065,4.5,48,t,"Food, Mexican, Food Stands, Restaurants, Street Vendors",Sapna,76,2017-01-13 13:32:40,43,8,13,1,3.94,3,1,0,0,0,0,2,0,0,1,0
